Date,Day,StartTime,EndTime,Hours,Location,Type,Event
2026-01-11,Sunday,2:20 PM,3:20 PM,1.0,NSIA NHL,Practice,Private
2026-01-11,Sunday,3:30 PM,5:00 PM,1.5,NSIA NHL,Game,Private
2026-01-17,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2026-01-17,Saturday,4:50 PM,6:00 PM,1.167,NSIA NHL,Practice,Private
2026-01-17,Saturday,6:20 PM,7:50 PM,1.5,NSIA NHL,Game,Private
2026-01-17,Saturday,7:50 PM,9:20 PM,1.5,NSIA NHL,Game,Private
2026-01-18,Sunday,8:00 AM,9:00 AM,1.0,NSIA NHL,Game,Private
2026-01-18,Sunday,9:20 AM,10:40 AM,1.333,NSIA NHL,Game,Private
2026-01-18,Sunday,10:50 AM,11:50 AM,1.0,NSIA NHL,Practice,Private
2026-01-24,Saturday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2026-01-24,Saturday,8:00 PM,9:20 PM,1.333,NSIA NHL,Game,Private
2026-01-25,Sunday,12:40 PM,1:40 PM,1.0,NSIA NHL,Game,Private
2026-01-25,Sunday,2:10 PM,3:10 PM,1.0,NSIA NHL,Game,Private
2026-01-25,Sunday,4:10 PM,5:10 PM,1.0,NSIA NHL,Game,Private
2026-01-31,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2026-01-31,Saturday,4:20 PM,5:20 PM,1.0,NSIA NHL,Practice,Private
2026-01-31,Saturday,5:40 PM,6:50 PM,1.167,NSIA NHL,Game,Private
2026-02-01,Sunday,8:00 AM,9:00 AM,1.0,NSIA NHL,Game,Private
2026-02-01,Sunday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2026-02-01,Sunday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2026-02-01,Sunday,11:40 AM,12:40 PM,1.0,NSIA NHL,Game,Private
2026-02-07,Saturday,8:00 AM,9:00 AM,1.0,NSIA NHL,Game,Private
2026-02-07,Saturday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2026-02-07,Saturday,10:20 AM,11:20 AM,1.0,NSIA NHL,Game,Private
2026-02-07,Saturday,11:30 AM,12:40 PM,1.167,NSIA NHL,Game,Private
2026-02-08,Sunday,12:40 PM,1:40 PM,1.0,NSIA NHL,Game,Private
2026-02-14,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2026-02-14,Saturday,4:40 PM,6:00 PM,1.333,NSIA NHL,Game,Private
2026-02-15,Sunday,8:50 AM,10:10 AM,1.333,NSIA NHL,Game,Private
2026-02-15,Sunday,10:20 AM,11:30 AM,1.167,NSIA NHL,Practice,Private
2026-02-21,Saturday,8:40 AM,9:50 AM,1.167,NSIA NHL,Game,Private
2026-02-21,Saturday,10:00 AM,11:20 AM,1.333,NSIA NHL,Game,Private
2026-02-21,Saturday,11:20 AM,12:40 PM,1.333,NSIA NHL,Practice,Private
2026-02-21,Saturday,8:00 PM,9:20 PM,1.333,NSIA NHL,Game,Private
2026-02-22,Sunday,1:30 PM,2:50 PM,1.333,NSIA NHL,Game,Private
2026-02-22,Sunday,3:00 PM,4:00 PM,1.0,NSIA NHL,Practice,Private
2026-02-28,Saturday,3:10 PM,4:10 PM,1.0,NSIA NHL,Game,Private
2026-02-28,Saturday,4:20 PM,5:20 PM,1.0,NSIA NHL,Practice,Private
2026-02-28,Saturday,5:30 PM,7:00 PM,1.5,NSIA NHL,Game,Private
2026-03-01,Sunday,9:10 AM,10:10 AM,1.0,NSIA NHL,Game,Private
2026-03-01,Sunday,10:20 AM,11:20 AM,1.0,NSIA NHL,Practice,Private
2026-03-01,Sunday,11:30 AM,12:40 PM,1.167,NSIA NHL,Practice,Private
