Date,Day,StartTime,EndTime,Hours,Location,Type,Event
2026-01-04,Sunday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Blackbirds
2026-01-04,Sunday,3:10 PM,4:10 PM,1.0,NSIA Main Rink,Practice,Mite 5 Minor
2026-01-04,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Mite 4 vs Junior Vipers #4
2026-01-10,Saturday,12:50 PM,1:50 PM,1.0,NSIA Main Rink,Practice,Bratschi Plumbing
2026-01-10,Saturday,2:00 PM,3:00 PM,1.0,NSIA Main Rink,Practice,Northbrook Dentistry
2026-01-10,Saturday,3:30 PM,4:30 PM,1.0,North Shore Ice Arena,Practice,Nels Johnson/Bashy Bash
2026-01-10,Saturday,3:30 PM,4:30 PM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 3 vs Stallions
2026-01-11,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Bratschi Plumbing vs Northbrook 2
2026-01-11,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Mite 2 vs Vipers
2026-01-11,Sunday,10:20 AM,11:20 AM,1.0,North Shore Ice Arena,Game,Mite 3 vs Ice Dogs
2026-01-11,Sunday,11:30 AM,12:30 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Chicago Jr. Bulldogs #3
2026-01-17,Saturday,8:10 AM,9:10 AM,1.0,NSIA Main Rink,Practice,Spaulding Ridge
2026-01-17,Saturday,9:20 AM,10:20 AM,1.0,NSIA Main Rink,Practice,Nels Johnson Tree Experts
2026-01-17,Saturday,10:40 AM,11:50 AM,1.167,North Shore Ice Arena,Game,Pee Wee Prospects 1 vs Sabres
2026-01-17,Saturday,12:10 PM,1:10 PM,1.0,NSIA Main Rink,Practice,Northbrook Dentistry
2026-01-17,Saturday,1:20 PM,2:20 PM,1.0,NSIA Main Rink,Practice,Bratschi Plumbing
2026-01-18,Sunday,7:10 AM,8:10 AM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 3 vs Elmhurst Chiefs
2026-01-18,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Wilmette 1 vs Bratschi Plumbing
2026-01-18,Sunday,2:00 PM,3:10 PM,1.167,North Shore Ice Arena,Game,Squirt Prospects 2 vs Bluehawks
2026-01-18,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1 vs Blues
2026-01-18,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Mite House Plus - Bedard vs Ice Dogs
2026-01-18,Sunday,12:50 PM,1:50 PM,1.0,NSIA Main Rink,Game,Pee Wee Major vs Wisconsin Jr. Guardians
2026-01-24,Saturday,12:10 PM,1:10 PM,1.0,North Shore Ice Arena,Game,Squirt Prospect 1
2026-01-24,Saturday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Squirt Minor
2026-01-24,Saturday,1:30 PM,2:30 PM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 2
2026-01-24,Saturday,3:30 PM,4:40 PM,1.167,North Shore Ice Arena,Game,Squirt Prospects 2
2026-01-24,Saturday,5:00 PM,6:10 PM,1.167,North Shore Ice Arena,Game,Pee Wee Prospects 1
2026-01-24,Saturday,6:30 PM,7:30 PM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 3
2026-01-25,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Mite 4 vs Glenview Jr. Stars #3
2026-01-25,Sunday,9:10 AM,10:10 AM,1.0,NSIA Main Rink,Practice,Squirt Major
2026-01-25,Sunday,10:20 AM,11:20 AM,1.0,North Shore Ice Arena,Game,Mite 3 vs Huskies
2026-01-25,Sunday,11:30 AM,12:30 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Dupage Jr. Black Bears #3
2026-01-31,Saturday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Junior Chargers #4
2026-01-31,Saturday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Bantam Prospects 1 vs Komets
2026-01-31,Saturday,10:40 AM,11:50 AM,1.167,NSIA Main Rink,Practice,Bashy Bash/Style Big Club
2026-01-31,Saturday,12:10 PM,1:10 PM,1.0,North Shore Ice Arena,Game,Squirt Minor vs Yellowjackets
2026-01-31,Saturday,1:40 PM,2:40 PM,1.0,North Shore Ice Arena,Game,Squirt Major vs Yellowjackets
2026-02-01,Sunday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Midwest Jr. Blackbirds #3
2026-02-01,Sunday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Mite 1 vs Midwest Jr. Blackbirds 1
2026-02-01,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Mite 5 Major vs Junior Express #2
2026-02-01,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,MMDP East vs Wilmette
2026-02-07,Saturday,7:10 AM,8:10 AM,1.0,North Shore Ice Arena,Game,Squirt Minor vs Yellowjackets prospects
2026-02-07,Saturday,12:50 PM,1:50 PM,1.0,NSIA Main Rink,Practice,Nels Johnson/Northbrook Dentistry
2026-02-08,Sunday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Northbrook Dentistry vs Winter Club
2026-02-08,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Spaulding Ridge vs Northbrook 1
2026-02-08,Sunday,10:20 AM,11:20 AM,1.0,North Shore Ice Arena,Game,Style Big Club vs Falcons White
2026-02-08,Sunday,11:30 AM,12:30 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Crystal Lake Stingers #4
2026-02-14,Saturday,8:00 AM,9:00 AM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Chicago Jr. Stallions #4
2026-02-14,Saturday,10:40 AM,11:40 AM,1.0,North Shore Ice Arena,Game,Mite 2 vs St. Jude
2026-02-14,Saturday,11:50 AM,12:50 PM,1.0,North Shore Ice Arena,Game,Mite 5 Major vs Chicago Jr Blues #3
2026-02-14,Saturday,1:40 PM,2:40 PM,1.0,North Shore Ice Arena,Game,Mite 4 vs Midwest Jr. Blackbirds #2
2026-02-15,Sunday,12:50 PM,1:50 PM,1.0,North Shore Ice Arena,Game,Mite 5 Major vs Darien Phantoms #4
2026-02-15,Sunday,2:00 PM,3:00 PM,1.0,North Shore Ice Arena,Game,Mite 3 vs Huskies
2026-02-15,Sunday,3:10 PM,4:10 PM,1.0,North Shore Ice Arena,Game,Mite 1 vs Naperville Jr. Sabres 1
2026-02-15,Sunday,4:20 PM,5:20 PM,1.0,North Shore Ice Arena,Game,Mite 5 Minor vs Wilmette Jr. Trevians #5
2026-02-21,Saturday,3:10 PM,4:10 PM,1.0,NSIA Main Rink,Practice,Pee Wee Prospects 1
2026-02-21,Saturday,4:20 PM,5:35 PM,1.25,North Shore Ice Arena,Game,Pee Wee Major
2026-02-22,Sunday,9:10 AM,10:10 AM,1.0,North Shore Ice Arena,Game,Mite 3 vs Jaguars
2026-02-28,Saturday,10:40 AM,11:40 AM,1.0,North Shore Ice Arena,Game,Pee Wee Prospects 3 vs Glenview
2026-02-28,Saturday,11:50 AM,12:50 PM,1.0,North Shore Ice Arena,Game,Bashy Bash vs Twin Rinks
2026-03-01,Sunday,2:30 PM,3:50 PM,1.333,NSIA Main Rink,Practice,Bantam Prospects 2
2026-03-01,Sunday,4:00 PM,5:20 PM,1.333,NSIA Main Rink,Practice,Squirt Prospects 2
